Price,Open,Open,High,High,Low,Low,Close,Close,Volume,Volume
Ticker,ILMN,INCY,ILMN,INCY,ILMN,INCY,ILMN,INCY,ILMN,INCY
Date,,,,,,,,,,
2020-01-02,320.0875549316406,86.91000366210938,323.7840576171875,87.97000122070312,314.48443603515625,85.36000061035156,318.0933837890625,85.97000122070312,836689,1679600
2020-01-03,313.70623779296875,76.1500015258789,316.2840576171875,78.0999984741211,312.26654052734375,75.16000366210938,313.939697265625,77.9000015258789,1383791,5529300
2020-01-06,312.2276306152344,77.2699966430664,316.8385314941406,77.43000030517578,310.0875549316406,75.5199966430664,316.6634216308594,77.33999633789062,782102,2817200
2020-01-07,319.2704162597656,77.27999877929688,322.1498107910156,77.62000274658203,317.2276306152344,76.16000366210938,320.7101135253906,77.13999938964844,811195,1536000
2020-01-08,319.37744140625,77.29000091552734,325.38909912109375,77.44999694824219,317.8404541015625,76.08000183105469,323.11285400390625,76.52999877929688,698732,1698500
2020-01-09,325.8657531738281,76.5,327.7918395996094,78.69000244140625,323.57977294921875,76.5,325.48638916015625,77.94999694824219,904332,1977600
2020-01-10,327.4416198730469,77.69999694824219,330.3793640136719,78.25,324.5719909667969,76.31999969482422,326.39105224609375,76.47000122070312,978142,1204000
2020-01-13,326.7607116699219,76.58000183105469,328.60894775390625,77.91999816894531,304.309326171875,75.80999755859375,314.3482360839844,77.0999984741211,2404286,1938100
2020-01-14,315.2529296875,77.37999725341797,316.62451171875,81.63999938964844,308.3852233886719,77.0999984741211,308.4727478027344,81.47000122070312,2235078,2830600
2020-01-15,311.2840576171875,81.12000274658203,313.3949279785156,82.37999725341797,309.35797119140625,80.29000091552734,311.6634216308594,80.54000091552734,1211498,1105100
2020-01-16,314.6206359863281,81.08000183105469,317.5583801269531,81.56999969482422,312.83074951171875,80.29000091552734,317.08172607421875,80.62000274658203,742936,1343500
2020-01-17,318.8034973144531,80.9800033569336,318.998046875,81.11000061035156,311.73150634765625,80.05000305175781,315.87548828125,80.5,1154238,1418500
2020-01-21,314.4163513183594,80.16999816894531,321.5272521972656,80.26000213623047,313.35601806640625,78.45999908447266,319.38714599609375,78.6500015258789,1325606,1228500
2020-01-22,319.8054504394531,78.83000183105469,323.560302734375,79.52999877929688,319.2412414550781,78.22000122070312,321.935791015625,78.4800033569336,849231,845400
2020-01-23,321.3229675292969,78.56999969482422,321.6050720214844,78.93000030517578,317.76263427734375,77.44999694824219,318.0933837890625,78.23999786376953,970843,1167100
2020-01-24,318.79376220703125,78.1500015258789,319.3677062988281,78.76000213623047,309.61090087890625,75.83000183105469,310.87548828125,76.73999786376953,1099960,1299000
